"region"	"type of building"	"period of construction"	"year"	Number of dwellings
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2015"	10634
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2016"	15537
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2017"	19237
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2018"	22114
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2019"	24726
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2020"	27908
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2021"	29146
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2013"	0
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2014"	0
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2015"	0
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2016"	0
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2017"	0
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2018"	0
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2019"	0
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2020"	0
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2021"	2000
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2013"	2322
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2014"	1305
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2015"	1284
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2016"	2077
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2017"	2155
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2018"	1673
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2019"	1663
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2020"	1828
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2021"	1811
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"-1930"	"2013"	42940
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"-1930"	"2014"	43261
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"-1930"	"2015"	43681
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"-1930"	"2016"	44383
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"-1930"	"2017"	44511
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"-1930"	"2018"	44840
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"-1930"	"2019"	45839
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"-1930"	"2020"	46545
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"-1930"	"2021"	46843
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2013"	42436
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2014"	42606
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2015"	43028
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2016"	43545
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2017"	43617
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2018"	43930
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2019"	44213
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2020"	44421
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2021"	44627
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2013"	82606
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2014"	82798
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2015"	83185
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2016"	83745
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2017"	83959
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2018"	84424
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2019"	84597
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2020"	84872
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2021"	85195
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2013"	125525
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2014"	125775
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2015"	126018
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2016"	126604
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2017"	126880
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2018"	127438
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2019"	127613
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2020"	127903
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2021"	128229
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2013"	199585
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2014"	200053
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2015"	200619
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2016"	201009
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2017"	200965
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2018"	201380
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2019"	201533
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2020"	201836
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2021"	202406
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2013"	100856
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2014"	101444
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2015"	101409
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2016"	101432
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2017"	101815
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2018"	101900
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2019"	101775
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2020"	102029
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2021"	101729
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2013"	66266
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2014"	66603
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2015"	66742
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2016"	66015
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2017"	66179
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2018"	65611
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2019"	65975
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2020"	66127
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2021"	66178
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2013"	41690
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2014"	42371
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2015"	42387
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2016"	42627
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2017"	42862
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2018"	42529
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2019"	42707
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2020"	42899
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2021"	42957
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2013"	31734
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2014"	32160
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2015"	32266
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2016"	32549
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2017"	32816
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2018"	32711
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2019"	32998
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2020"	33073
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2021"	33304
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2013"	10382
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2014"	15347
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2015"	22705
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2016"	31428
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2017"	47276
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2018"	63771
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2019"	75403
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2020"	85689
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2021"	88981
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"2021-"	"2013"	0
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"2021-"	"2014"	0
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"2021-"	"2015"	0
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"2021-"	"2016"	0
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"2021-"	"2017"	0
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"2021-"	"2018"	0
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"2021-"	"2019"	0
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"2021-"	"2020"	0
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"2021-"	"2021"	8682
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"data missing"	"2013"	2948
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"data missing"	"2014"	2440
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"data missing"	"2015"	3383
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"data missing"	"2016"	4358
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"data missing"	"2017"	3153
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"data missing"	"2018"	2085
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"data missing"	"2019"	1676
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"data missing"	"2020"	971
"SKL03 large cities (31 municipalities)"	"multi-dwelling buildings"	"data missing"	"2021"	1406
"SKL03 large cities (31 municipalities)"	"other buildings"	"-1930"	"2013"	4166
"SKL03 large cities (31 municipalities)"	"other buildings"	"-1930"	"2014"	4437
"SKL03 large cities (31 municipalities)"	"other buildings"	"-1930"	"2015"	4563
"SKL03 large cities (31 municipalities)"	"other buildings"	"-1930"	"2016"	4291
"SKL03 large cities (31 municipalities)"	"other buildings"	"-1930"	"2017"	4459
"SKL03 large cities (31 municipalities)"	"other buildings"	"-1930"	"2018"	4705
"SKL03 large cities (31 municipalities)"	"other buildings"	"-1930"	"2019"	4567
"SKL03 large cities (31 municipalities)"	"other buildings"	"-1930"	"2020"	4510
"SKL03 large cities (31 municipalities)"	"other buildings"	"-1930"	"2021"	4529
"SKL03 large cities (31 municipalities)"	"other buildings"	"1931-1940"	"2013"	1463
"SKL03 large cities (31 municipalities)"	"other buildings"	"1931-1940"	"2014"	1433
"SKL03 large cities (31 municipalities)"	"other buildings"	"1931-1940"	"2015"	1477
"SKL03 large cities (31 municipalities)"	"other buildings"	"1931-1940"	"2016"	1425
"SKL03 large cities (31 municipalities)"	"other buildings"	"1931-1940"	"2017"	1333
"SKL03 large cities (31 municipalities)"	"other buildings"	"1931-1940"	"2018"	1315
"SKL03 large cities (31 municipalities)"	"other buildings"	"1931-1940"	"2019"	1337
"SKL03 large cities (31 municipalities)"	"other buildings"	"1931-1940"	"2020"	1313
"SKL03 large cities (31 municipalities)"	"other buildings"	"1931-1940"	"2021"	1270
"SKL03 large cities (31 municipalities)"	"other buildings"	"1941-1950"	"2013"	1183
"SKL03 large cities (31 municipalities)"	"other buildings"	"1941-1950"	"2014"	1207
"SKL03 large cities (31 municipalities)"	"other buildings"	"1941-1950"	"2015"	1250
"SKL03 large cities (31 municipalities)"	"other buildings"	"1941-1950"	"2016"	1245
"SKL03 large cities (31 municipalities)"	"other buildings"	"1941-1950"	"2017"	1228
"SKL03 large cities (31 municipalities)"	"other buildings"	"1941-1950"	"2018"	1237
"SKL03 large cities (31 municipalities)"	"other buildings"	"1941-1950"	"2019"	1269
"SKL03 large cities (31 municipalities)"	"other buildings"	"1941-1950"	"2020"	1210
"SKL03 large cities (31 municipalities)"	"other buildings"	"1941-1950"	"2021"	1247
"SKL03 large cities (31 municipalities)"	"other buildings"	"1951-1960"	"2013"	2983
"SKL03 large cities (31 municipalities)"	"other buildings"	"1951-1960"	"2014"	3056
"SKL03 large cities (31 municipalities)"	"other buildings"	"1951-1960"	"2015"	3012
"SKL03 large cities (31 municipalities)"	"other buildings"	"1951-1960"	"2016"	2619
"SKL03 large cities (31 municipalities)"	"other buildings"	"1951-1960"	"2017"	2658
"SKL03 large cities (31 municipalities)"	"other buildings"	"1951-1960"	"2018"	2827
"SKL03 large cities (31 municipalities)"	"other buildings"	"1951-1960"	"2019"	2751
"SKL03 large cities (31 municipalities)"	"other buildings"	"1951-1960"	"2020"	2655
"SKL03 large cities (31 municipalities)"	"other buildings"	"1951-1960"	"2021"	2559
"SKL03 large cities (31 municipalities)"	"other buildings"	"1961-1970"	"2013"	3816
"SKL03 large cities (31 municipalities)"	"other buildings"	"1961-1970"	"2014"	3589
"SKL03 large cities (31 municipalities)"	"other buildings"	"1961-1970"	"2015"	3585
"SKL03 large cities (31 municipalities)"	"other buildings"	"1961-1970"	"2016"	3119
"SKL03 large cities (31 municipalities)"	"other buildings"	"1961-1970"	"2017"	3140
"SKL03 large cities (31 municipalities)"	"other buildings"	"1961-1970"	"2018"	3228
"SKL03 large cities (31 municipalities)"	"other buildings"	"1961-1970"	"2019"	3260
"SKL03 large cities (31 municipalities)"	"other buildings"	"1961-1970"	"2020"	3098
"SKL03 large cities (31 municipalities)"	"other buildings"	"1961-1970"	"2021"	3258
"SKL03 large cities (31 municipalities)"	"other buildings"	"1971-1980"	"2013"	2276
"SKL03 large cities (31 municipalities)"	"other buildings"	"1971-1980"	"2014"	2216
"SKL03 large cities (31 municipalities)"	"other buildings"	"1971-1980"	"2015"	2232
